,movie,year,rating,metascore,votes
1899,Deadpool 2,2018,7.7,66,460622
1900,Bohemian Rhapsody,2018,8.0,49,433583
1901,A Quiet Place,2018,7.5,82,391422
1902,Ready Player One,2018,7.5,64,353948
1903,Aquaman,2018,6.9,55,348941
1904,Venom,2018,6.7,35,343706
1905,Green Book,2018,8.2,69,341986
1906,Spider-Man: Into the Spider-Verse,2018,8.4,87,335979
1907,A Star Is Born,2018,7.7,88,318557
1908,Ant-Man and the Wasp,2018,7.1,70,295488
1909,Mission: Impossible - Fallout,2018,7.7,86,280996
1910,Solo: A Star Wars Story,2018,6.9,62,278337
1911,Annihilation,2018,6.8,79,271369
1912,Bird Box,2018,6.6,51,266901
1913,Jurassic World: Fallen Kingdom,2018,6.2,51,256560
1914,Incredibles 2,2018,7.6,80,239511
1915,Hereditary,2018,7.3,87,221504
1916,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,209763
1917,BlacKkKlansman,2018,7.5,83,207057
1918,Game Night,2018,6.9,66,198363
1919,Tomb Raider,2018,6.3,48,185714
1920,Ocean's Eight,2018,6.2,61,177212
1921,The Favourite,2018,7.5,91,163862
1922,First Man,2018,7.3,84,159495
1923,Red Sparrow,2018,6.6,53,159368
1924,Upgrade,2018,7.5,67,147828
1925,The Meg,2018,5.6,46,143459
1926,Rampage,2018,6.1,45,137877
1927,Roma,2018,7.7,96,134615
1928,Crazy Rich Asians,2018,6.9,74,133024
1929,Searching,2018,7.6,71,132939
1930,Isle of Dogs,2018,7.9,82,132798
1931,Bumblebee,2018,6.8,66,131532
1932,The Equalizer 2,2018,6.7,50,125898
1933,Ralph Breaks the Internet: Wreck-It Ralph 2,2018,7.1,71,124317
1934,Bad Times at the El Royale,2018,7.1,60,123417
1935,Sicario 2: Soldado,2018,7.1,61,119804
1936,A Simple Favor,2018,6.8,67,119494
1937,The Ballad of Buster Scruggs,2018,7.3,79,115086
1938,Vice,2018,7.2,61,113264
1939,The Predator,2018,5.3,48,113059
1940,The Nun,2018,5.3,46,112645
1941,Halloween,2018,6.6,67,112499
1942,Tag,2018,6.5,56,109269
1943,Avengers: Infinity War,2018,8.4,68,796623
1944,Black Panther,2018,7.3,88,597312
1945,Deadpool 2,2018,7.7,66,460622
1946,Bohemian Rhapsody,2018,8.0,49,433583
1947,A Quiet Place,2018,7.5,82,391422
1948,Ready Player One,2018,7.5,64,353948
1949,Aquaman,2018,6.9,55,348941
1950,Venom,2018,6.7,35,343706
1951,Green Book,2018,8.2,69,341986
1952,Spider-Man: Into the Spider-Verse,2018,8.4,87,335979
1953,A Star Is Born,2018,7.7,88,318557
1954,Ant-Man and the Wasp,2018,7.1,70,295488
1955,Mission: Impossible - Fallout,2018,7.7,86,280996
1956,Solo: A Star Wars Story,2018,6.9,62,278337
1957,Annihilation,2018,6.8,79,271369
1958,Bird Box,2018,6.6,51,266901
1959,Jurassic World: Fallen Kingdom,2018,6.2,51,256560
1960,Incredibles 2,2018,7.6,80,239511
1961,Hereditary,2018,7.3,87,221504
1962,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,209763
1963,BlacKkKlansman,2018,7.5,83,207057
1964,Game Night,2018,6.9,66,198363
1965,Tomb Raider,2018,6.3,48,185714
1966,Ocean's Eight,2018,6.2,61,177212
1967,The Favourite,2018,7.5,91,163862
1968,First Man,2018,7.3,84,159495
1969,Red Sparrow,2018,6.6,53,159368
1970,Upgrade,2018,7.5,67,147828
1971,The Meg,2018,5.6,46,143459
1972,Rampage,2018,6.1,45,137877
1973,Roma,2018,7.7,96,134615
1974,Crazy Rich Asians,2018,6.9,74,133024
1975,Searching,2018,7.6,71,132939
1976,Isle of Dogs,2018,7.9,82,132798
1977,Bumblebee,2018,6.8,66,131532
1978,The Equalizer 2,2018,6.7,50,125898
1979,Ralph Breaks the Internet: Wreck-It Ralph 2,2018,7.1,71,124317
1980,Bad Times at the El Royale,2018,7.1,60,123417
1981,Sicario 2: Soldado,2018,7.1,61,119804
1982,A Simple Favor,2018,6.8,67,119494
1983,The Ballad of Buster Scruggs,2018,7.3,79,115086
1984,Vice,2018,7.2,61,113264
1985,The Predator,2018,5.3,48,113059
1986,The Nun,2018,5.3,46,112645
1987,Halloween,2018,6.6,67,112499
1988,Tag,2018,6.5,56,109269
1989,Avengers: Infinity War,2018,8.4,68,796623
1990,Black Panther,2018,7.3,88,597312
1991,Deadpool 2,2018,7.7,66,460622
1992,Bohemian Rhapsody,2018,8.0,49,433583
1993,A Quiet Place,2018,7.5,82,391422
1994,Ready Player One,2018,7.5,64,353948
1995,Aquaman,2018,6.9,55,348941
1996,Venom,2018,6.7,35,343706
1997,Green Book,2018,8.2,69,341986
1998,Spider-Man: Into the Spider-Verse,2018,8.4,87,335979
1999,A Star Is Born,2018,7.7,88,318557
2000,Ant-Man and the Wasp,2018,7.1,70,295488
2001,Mission: Impossible - Fallout,2018,7.7,86,280996
2002,Solo: A Star Wars Story,2018,6.9,62,278337
2003,Annihilation,2018,6.8,79,271369
2004,Bird Box,2018,6.6,51,266901
2005,Jurassic World: Fallen Kingdom,2018,6.2,51,256560
2006,Incredibles 2,2018,7.6,80,239511
2007,Hereditary,2018,7.3,87,221504
2008,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,209763
2009,BlacKkKlansman,2018,7.5,83,207057
2010,Game Night,2018,6.9,66,198363
2011,Tomb Raider,2018,6.3,48,185714
2012,Ocean's Eight,2018,6.2,61,177212
2013,The Favourite,2018,7.5,91,163862
2014,First Man,2018,7.3,84,159495
2015,Red Sparrow,2018,6.6,53,159368
2016,Upgrade,2018,7.5,67,147828
2017,The Meg,2018,5.6,46,143459
2018,Rampage,2018,6.1,45,137877
2019,Roma,2018,7.7,96,134615
2020,Crazy Rich Asians,2018,6.9,74,133024
2021,Searching,2018,7.6,71,132939
2022,Isle of Dogs,2018,7.9,82,132798
2023,Bumblebee,2018,6.8,66,131532
2024,The Equalizer 2,2018,6.7,50,125898
2025,Ralph Breaks the Internet: Wreck-It Ralph 2,2018,7.1,71,124317
2026,Bad Times at the El Royale,2018,7.1,60,123417
2027,Sicario 2: Soldado,2018,7.1,61,119804
2028,A Simple Favor,2018,6.8,67,119494
2029,The Ballad of Buster Scruggs,2018,7.3,79,115086
2030,Vice,2018,7.2,61,113264
2031,The Predator,2018,5.3,48,113059
2032,The Nun,2018,5.3,46,112645
2033,Halloween,2018,6.6,67,112499
2034,Tag,2018,6.5,56,109269
2035,Joker,2019,8.5,59,855130
2036,Avengers: Endgame,2019,8.4,78,755015
2037,Once Upon a Time... in Hollywood,2019,7.6,83,507228
2038,Gisaengchung,2019,8.6,96,470966
2039,Captain Marvel,2019,6.9,64,422720
2040,Knives Out,2019,7.9,82,377903
2041,1917,2019,8.3,78,362917
2042,Star Wars: Episode IX - The Rise of Skywalker,2019,6.6,53,347334
2043,Spider-Man: Far from Home,2019,7.5,69,304715
2044,The Irishman,2019,7.9,94,304592
2045,John Wick: Chapter 3 - Parabellum,2019,7.5,73,258112
2046,Jojo Rabbit,2019,7.9,58,253774
2047,Ford v. Ferrari,2019,8.1,81,251891
2048,Shazam!,2019,7.1,71,240906
2049,Marriage Story,2019,8.0,94,227342
2050,Alita: Battle Angel,2019,7.3,53,217224
2051,Aladdin,2019,7.0,53,215145
2052,Us,2019,6.9,81,210020
2053,The Lion King,2019,6.9,55,199525
2054,Uncut Gems,2019,7.4,91,199131
2055,Glass,2019,6.7,43,197885
2056,It Chapter Two,2019,6.5,58,192188
2057,Toy Story 4,2019,7.8,84,189168
2058,Ad Astra,2019,6.6,80,185355
2059,The Gentlemen,2019,7.9,51,179065
2060,Midsommar,2019,7.1,72,176399
2061,El Camino: A Breaking Bad Movie,2019,7.3,72,172191
2062,Jumanji: The Next Level,2019,6.7,58,168708
2063,Fast & Furious Presents: Hobbs & Shaw,2019,6.4,60,158622
2064,Dark Phoenix,2019,5.8,43,146156
2065,El hoyo,2019,7.0,73,144944
2066,Terminator: Dark Fate,2019,6.2,54,132794
2067,Pokémon: Detective Pikachu,2019,6.6,53,130489
2068,6 Underground,2019,6.1,41,129513
2069,Zombieland: Double Tap,2019,6.7,55,125347
2070,Godzilla: King of the Monsters,2019,6.0,48,125336
2071,Rocketman,2019,7.3,69,124415
2072,Frozen 2,2019,6.9,64,122775
2073,Little Women,2019,7.8,91,122426
2074,Doctor Sleep,2019,7.4,59,121809
2075,Joker,2019,8.5,59,855130
2076,Avengers: Endgame,2019,8.4,78,755015
2077,Once Upon a Time... in Hollywood,2019,7.6,83,507228
2078,Gisaengchung,2019,8.6,96,470966
2079,Captain Marvel,2019,6.9,64,422720
2080,Knives Out,2019,7.9,82,377903
2081,1917,2019,8.3,78,362917
2082,Star Wars: Episode IX - The Rise of Skywalker,2019,6.6,53,347334
2083,Spider-Man: Far from Home,2019,7.5,69,304715
2084,The Irishman,2019,7.9,94,304592
2085,John Wick: Chapter 3 - Parabellum,2019,7.5,73,258112
2086,Jojo Rabbit,2019,7.9,58,253774
2087,Ford v. Ferrari,2019,8.1,81,251891
2088,Shazam!,2019,7.1,71,240906
2089,Marriage Story,2019,8.0,94,227342
2090,Alita: Battle Angel,2019,7.3,53,217224
2091,Aladdin,2019,7.0,53,215145
2092,Us,2019,6.9,81,210020
2093,The Lion King,2019,6.9,55,199525
2094,Uncut Gems,2019,7.4,91,199131
2095,Glass,2019,6.7,43,197885
2096,It Chapter Two,2019,6.5,58,192188
2097,Toy Story 4,2019,7.8,84,189168
2098,Ad Astra,2019,6.6,80,185355
2099,The Gentlemen,2019,7.9,51,179065
2100,Midsommar,2019,7.1,72,176399
2101,El Camino: A Breaking Bad Movie,2019,7.3,72,172191
2102,Jumanji: The Next Level,2019,6.7,58,168708
2103,Fast & Furious Presents: Hobbs & Shaw,2019,6.4,60,158622
2104,Dark Phoenix,2019,5.8,43,146156
2105,El hoyo,2019,7.0,73,144944
2106,Terminator: Dark Fate,2019,6.2,54,132794
2107,Pokémon: Detective Pikachu,2019,6.6,53,130489
2108,6 Underground,2019,6.1,41,129513
2109,Zombieland: Double Tap,2019,6.7,55,125347
2110,Godzilla: King of the Monsters,2019,6.0,48,125336
2111,Rocketman,2019,7.3,69,124415
2112,Frozen 2,2019,6.9,64,122775
2113,Little Women,2019,7.8,91,122426
2114,Doctor Sleep,2019,7.4,59,121809
2115,Joker,2019,8.5,59,855130
2116,Avengers: Endgame,2019,8.4,78,755015
2117,Once Upon a Time... in Hollywood,2019,7.6,83,507228
2118,Gisaengchung,2019,8.6,96,470966
2119,Captain Marvel,2019,6.9,64,422720
2120,Knives Out,2019,7.9,82,377903
2121,1917,2019,8.3,78,362917
2122,Star Wars: Episode IX - The Rise of Skywalker,2019,6.6,53,347334
2123,Spider-Man: Far from Home,2019,7.5,69,304715
2124,The Irishman,2019,7.9,94,304592
2125,John Wick: Chapter 3 - Parabellum,2019,7.5,73,258112
2126,Jojo Rabbit,2019,7.9,58,253774
2127,Ford v. Ferrari,2019,8.1,81,251891
2128,Shazam!,2019,7.1,71,240906
2129,Marriage Story,2019,8.0,94,227342
2130,Alita: Battle Angel,2019,7.3,53,217224
2131,Aladdin,2019,7.0,53,215145
2132,Us,2019,6.9,81,210020
2133,The Lion King,2019,6.9,55,199525
2134,Uncut Gems,2019,7.4,91,199131
2135,Glass,2019,6.7,43,197885
2136,It Chapter Two,2019,6.5,58,192188
2137,Toy Story 4,2019,7.8,84,189168
2138,Ad Astra,2019,6.6,80,185355
2139,The Gentlemen,2019,7.9,51,179065
2140,Midsommar,2019,7.1,72,176399
2141,El Camino: A Breaking Bad Movie,2019,7.3,72,172191
2142,Jumanji: The Next Level,2019,6.7,58,168708
2143,Fast & Furious Presents: Hobbs & Shaw,2019,6.4,60,158622
2144,Dark Phoenix,2019,5.8,43,146156
2145,El hoyo,2019,7.0,73,144944
2146,Terminator: Dark Fate,2019,6.2,54,132794
2147,Pokémon: Detective Pikachu,2019,6.6,53,130489
2148,6 Underground,2019,6.1,41,129513
2149,Zombieland: Double Tap,2019,6.7,55,125347
2150,Godzilla: King of the Monsters,2019,6.0,48,125336
2151,Rocketman,2019,7.3,69,124415
2152,Frozen 2,2019,6.9,64,122775
2153,Little Women,2019,7.8,91,122426
2154,Doctor Sleep,2019,7.4,59,121809
2155,Joker,2019,8.5,59,855130
2156,Avengers: Endgame,2019,8.4,78,755015
2157,Once Upon a Time... in Hollywood,2019,7.6,83,507228
2158,Gisaengchung,2019,8.6,96,470966
2159,Captain Marvel,2019,6.9,64,422720
2160,Knives Out,2019,7.9,82,377903
2161,1917,2019,8.3,78,362917
2162,Star Wars: Episode IX - The Rise of Skywalker,2019,6.6,53,347334
2163,Spider-Man: Far from Home,2019,7.5,69,304715
2164,The Irishman,2019,7.9,94,304592
2165,John Wick: Chapter 3 - Parabellum,2019,7.5,73,258112
2166,Jojo Rabbit,2019,7.9,58,253774
2167,Ford v. Ferrari,2019,8.1,81,251891
2168,Shazam!,2019,7.1,71,240906
2169,Marriage Story,2019,8.0,94,227342
2170,Alita: Battle Angel,2019,7.3,53,217224
2171,Aladdin,2019,7.0,53,215145
2172,Us,2019,6.9,81,210020
2173,The Lion King,2019,6.9,55,199525
2174,Uncut Gems,2019,7.4,91,199131
2175,Glass,2019,6.7,43,197885
2176,It Chapter Two,2019,6.5,58,192188
2177,Toy Story 4,2019,7.8,84,189168
2178,Ad Astra,2019,6.6,80,185355
2179,The Gentlemen,2019,7.9,51,179065
2180,Midsommar,2019,7.1,72,176399
2181,El Camino: A Breaking Bad Movie,2019,7.3,72,172191
2182,Jumanji: The Next Level,2019,6.7,58,168708
2183,Fast & Furious Presents: Hobbs & Shaw,2019,6.4,60,158622
2184,Dark Phoenix,2019,5.8,43,146156
2185,El hoyo,2019,7.0,73,144944
2186,Terminator: Dark Fate,2019,6.2,54,132794
2187,Pokémon: Detective Pikachu,2019,6.6,53,130489
2188,6 Underground,2019,6.1,41,129513
2189,Zombieland: Double Tap,2019,6.7,55,125347
2190,Godzilla: King of the Monsters,2019,6.0,48,125336
2191,Rocketman,2019,7.3,69,124415
2192,Frozen 2,2019,6.9,64,122775
2193,Little Women,2019,7.8,91,122426
2194,Doctor Sleep,2019,7.4,59,121809
2195,Joker,2019,8.5,59,855130
2196,Avengers: Endgame,2019,8.4,78,755015
2197,Once Upon a Time... in Hollywood,2019,7.6,83,507228
2198,Gisaengchung,2019,8.6,96,470966
2199,Captain Marvel,2019,6.9,64,422720
2200,Knives Out,2019,7.9,82,377903
2201,1917,2019,8.3,78,362917
2202,Star Wars: Episode IX - The Rise of Skywalker,2019,6.6,53,347334
2203,Spider-Man: Far from Home,2019,7.5,69,304715
2204,The Irishman,2019,7.9,94,304592
2205,John Wick: Chapter 3 - Parabellum,2019,7.5,73,258112
2206,Jojo Rabbit,2019,7.9,58,253774
2207,Ford v. Ferrari,2019,8.1,81,251891
2208,Shazam!,2019,7.1,71,240906
2209,Marriage Story,2019,8.0,94,227342
2210,Alita: Battle Angel,2019,7.3,53,217224
2211,Aladdin,2019,7.0,53,215145
2212,Us,2019,6.9,81,210020
2213,The Lion King,2019,6.9,55,199525
2214,Uncut Gems,2019,7.4,91,199131
2215,Glass,2019,6.7,43,197885
2216,It Chapter Two,2019,6.5,58,192188
2217,Toy Story 4,2019,7.8,84,189168
2218,Ad Astra,2019,6.6,80,185355
2219,The Gentlemen,2019,7.9,51,179065
2220,Midsommar,2019,7.1,72,176399
2221,El Camino: A Breaking Bad Movie,2019,7.3,72,172191
2222,Jumanji: The Next Level,2019,6.7,58,168708
2223,Fast & Furious Presents: Hobbs & Shaw,2019,6.4,60,158622
2224,Dark Phoenix,2019,5.8,43,146156
2225,El hoyo,2019,7.0,73,144944
2226,Terminator: Dark Fate,2019,6.2,54,132794
2227,Pokémon: Detective Pikachu,2019,6.6,53,130489
2228,6 Underground,2019,6.1,41,129513
2229,Zombieland: Double Tap,2019,6.7,55,125347
2230,Godzilla: King of the Monsters,2019,6.0,48,125336
2231,Rocketman,2019,7.3,69,124415
2232,Frozen 2,2019,6.9,64,122775
2233,Little Women,2019,7.8,91,122426
2234,Doctor Sleep,2019,7.4,59,121809
2235,Extraction,2020,6.7,56,141677
2236,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,60,137387
2237,The Invisible Man,2020,7.1,72,129858
2238,Bad Boys for Life,2020,6.6,59,111590
2239,The Old Guard,2020,6.7,70,98126
2240,Onward,2020,7.4,61,76914
2241,Sonic the Hedgehog,2020,6.5,47,74663
2242,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,62279
2243,Spenser Confidential,2020,6.2,49,61332
2244,Tenet,2020,7.9,69,61259
2245,The Hunt,2020,6.5,50,52803
2246,Bloodshot,2020,5.7,44,49657
2247,Underwater,2020,5.8,48,48512
2248,Greyhound,2020,7.0,64,48203
2249,Project Power,2020,6.0,51,45219
2250,Palm Springs,2020,7.4,83,44712
2251,Dolittle,2020,5.6,26,39248
2252,Hamilton,2020,8.7,90,37561
2253,Da 5 Bloods,2020,6.5,82,29694
2254,The Call of the Wild,2020,6.8,47,29156
2255,The Wrong Missy,2020,5.7,33,28650
2256,Fantasy Island,2020,4.9,22,26846
2257,The Way Back,2020,6.7,66,23774
2258,The Half of It,2020,6.9,74,23525
2259,The King of Staten Island,2020,7.1,67,21774
2260,To All the Boys: P.S. I Still Love You,2020,6.0,54,21400
2261,Extraction,2020,6.7,56,141677
2262,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,60,137387
2263,The Invisible Man,2020,7.1,72,129858
2264,Bad Boys for Life,2020,6.6,59,111590
2265,The Old Guard,2020,6.7,70,98126
2266,Onward,2020,7.4,61,76914
2267,Sonic the Hedgehog,2020,6.5,47,74663
2268,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,62279
2269,Spenser Confidential,2020,6.2,49,61332
2270,Tenet,2020,7.9,69,61259
2271,The Hunt,2020,6.5,50,52803
2272,Bloodshot,2020,5.7,44,49657
2273,Underwater,2020,5.8,48,48512
2274,Greyhound,2020,7.0,64,48203
2275,Project Power,2020,6.0,51,45219
2276,Palm Springs,2020,7.4,83,44712
2277,Dolittle,2020,5.6,26,39248
2278,Hamilton,2020,8.7,90,37561
2279,Da 5 Bloods,2020,6.5,82,29694
2280,The Call of the Wild,2020,6.8,47,29156
2281,The Wrong Missy,2020,5.7,33,28650
2282,Fantasy Island,2020,4.9,22,26846
2283,The Way Back,2020,6.7,66,23774
2284,The Half of It,2020,6.9,74,23525
2285,The King of Staten Island,2020,7.1,67,21774
2286,To All the Boys: P.S. I Still Love You,2020,6.0,54,21400
2287,Extraction,2020,6.7,56,141677
2288,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,60,137387
2289,The Invisible Man,2020,7.1,72,129858
2290,Bad Boys for Life,2020,6.6,59,111590
2291,The Old Guard,2020,6.7,70,98126
2292,Onward,2020,7.4,61,76914
2293,Sonic the Hedgehog,2020,6.5,47,74663
2294,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,62279
2295,Spenser Confidential,2020,6.2,49,61332
2296,Tenet,2020,7.9,69,61259
2297,The Hunt,2020,6.5,50,52803
2298,Bloodshot,2020,5.7,44,49657
2299,Underwater,2020,5.8,48,48512
2300,Greyhound,2020,7.0,64,48203
2301,Project Power,2020,6.0,51,45219
2302,Palm Springs,2020,7.4,83,44712
2303,Dolittle,2020,5.6,26,39248
2304,Hamilton,2020,8.7,90,37561
2305,Da 5 Bloods,2020,6.5,82,29694
2306,The Call of the Wild,2020,6.8,47,29156
2307,The Wrong Missy,2020,5.7,33,28650
2308,Fantasy Island,2020,4.9,22,26846
2309,The Way Back,2020,6.7,66,23774
2310,The Half of It,2020,6.9,74,23525
2311,The King of Staten Island,2020,7.1,67,21774
2312,To All the Boys: P.S. I Still Love You,2020,6.0,54,21400
2313,Extraction,2020,6.7,56,141677
2314,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,60,137387
2315,The Invisible Man,2020,7.1,72,129858
2316,Bad Boys for Life,2020,6.6,59,111590
2317,The Old Guard,2020,6.7,70,98126
2318,Onward,2020,7.4,61,76914
2319,Sonic the Hedgehog,2020,6.5,47,74663
2320,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,62279
2321,Spenser Confidential,2020,6.2,49,61332
2322,Tenet,2020,7.9,69,61259
2323,The Hunt,2020,6.5,50,52803
2324,Bloodshot,2020,5.7,44,49657
2325,Underwater,2020,5.8,48,48512
2326,Greyhound,2020,7.0,64,48203
2327,Project Power,2020,6.0,51,45219
2328,Palm Springs,2020,7.4,83,44712
2329,Dolittle,2020,5.6,26,39248
2330,Hamilton,2020,8.7,90,37561
2331,Da 5 Bloods,2020,6.5,82,29694
2332,The Call of the Wild,2020,6.8,47,29156
2333,The Wrong Missy,2020,5.7,33,28650
2334,Fantasy Island,2020,4.9,22,26846
2335,The Way Back,2020,6.7,66,23774
2336,The Half of It,2020,6.9,74,23525
2337,The King of Staten Island,2020,7.1,67,21774
2338,To All the Boys: P.S. I Still Love You,2020,6.0,54,21400
2339,Extraction,2020,6.7,56,141677
2340,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,60,137387
2341,The Invisible Man,2020,7.1,72,129858
2342,Bad Boys for Life,2020,6.6,59,111590
2343,The Old Guard,2020,6.7,70,98126
2344,Onward,2020,7.4,61,76914
2345,Sonic the Hedgehog,2020,6.5,47,74663
2346,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,62279
2347,Spenser Confidential,2020,6.2,49,61332
2348,Tenet,2020,7.9,69,61259
2349,The Hunt,2020,6.5,50,52803
2350,Bloodshot,2020,5.7,44,49657
2351,Underwater,2020,5.8,48,48512
2352,Greyhound,2020,7.0,64,48203
2353,Project Power,2020,6.0,51,45219
2354,Palm Springs,2020,7.4,83,44712
2355,Dolittle,2020,5.6,26,39248
2356,Hamilton,2020,8.7,90,37561
2357,Da 5 Bloods,2020,6.5,82,29694
2358,The Call of the Wild,2020,6.8,47,29156
2359,The Wrong Missy,2020,5.7,33,28650
2360,Fantasy Island,2020,4.9,22,26846
2361,The Way Back,2020,6.7,66,23774
2362,The Half of It,2020,6.9,74,23525
2363,The King of Staten Island,2020,7.1,67,21774
2364,To All the Boys: P.S. I Still Love You,2020,6.0,54,21400
